"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height
263504153731;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 400 / Новый- 400- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;265000.0000;;;"Мощность трансформатора:400;Состояние:Новый";;tcRFj13dIvKniXLL52T6;150106525741;0;0;0;0
673291682304;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 400 / С хранения- 400- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;160000.0000;;;"Мощность трансформатора:400;Состояние:С хранения";;FcrDMyAHHAUZYrKAVu8S;150106525741;0;0;0;0
545606961671;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 1000 / Новый- 1000- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;555000.0000;;;"Мощность трансформатора:1000;Состояние:Новый";;NHFmgp1AXArVFxAdSo0P;150106525741;0;0;0;0
137420793773;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 1000 / С хранения- 1000- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;400000.0000;;;"Мощность трансформатора:1000;Состояние:С хранения";;IZUDf1dtfYLcDE3f1I9B;150106525741;0;0;0;0
694058812184;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 1250 / Новый- 1250- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;750000.0000;;;"Мощность трансформатора:1250;Состояние:Новый";;knB77PF3NlagpUnGbadJ;150106525741;0;0;0;0
839461133520;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 1600 / Новый- 1600- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;955000.0000;;;"Мощность трансформатора:1600;Состояние:Новый";;gjaV2b6knt0kscxMOrvR;150106525741;0;0;0;0
627561077782;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 1600 / С хранения- 1600- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;650000.0000;;;"Мощность трансформатора:1600;Состояние:С хранения";;e1BBUTuUKzVLOHVrmrPy;150106525741;0;0;0;0
206704166212;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 2500 / Новый- 2500- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;1490000.0000;;;"Мощность трансформатора:2500;Состояние:Новый";;yha0TMOg1jhcncHPgHeG;150106525741;0;0;0;0
636460544719;;;;;"Трансформатор масляный ТМ(Г,З)-630/6(10)/0,4 / 2500 / С хранения- 2500- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;950000.0000;;;"Мощность трансформатора:2500;Состояние:С хранения";;Zj6vSUjA9xvuFTJPnOHX;150106525741;0;0;0;0
360819276921;;;;Трансформаторы;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4";"Схема соединения обмоток: У/Ун-0, Д/Ун-11";"Силовые понижающие трехфазные двухобмоточные масляные трансформаторы ТМГ на напряжение 6 или 10 кВ предназначены для преобразования электроэнергии в сетях энергетических систем и для снабжения электрической энергией различных потребителей.";https://static.tildacdn.com/tild6364-3835-4531-b039-313864353964/TMG-1000-kVA-6_10_-k.png;;;;;;lxSG0Ap1NcbmHuBJBd2Z;;0;0;0;0
303574357060;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / С хранения- 1000- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;400000.0000;;;"Мощность трансформатора:1000;Состояние:С хранения";;NHFmgp1AXArVFxAdSo0P;360819276921;0;0;0;0
350998069001;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / Новый- 1000- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;555000.0000;;;"Мощность трансформатора:1000;Состояние:Новый";;IZUDf1dtfYLcDE3f1I9B;360819276921;0;0;0;0
171338950068;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 25 / Новый- 25- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;82000.0000;;;"Мощность трансформатора:25;Состояние:Новый";;mov2Hu076ljHikkSbHgU;360819276921;0;0;0;0
313154903887;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 25 / С хранения- 25- С хранения";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;55000.0000;;;"Мощность трансформатора:25;Состояние:С хранения";;FFJlVVGFpiVfcbVKY8ma;360819276921;0;0;0;0
260508449769;;;;;"Трансформатор масляный ТМ(Г,З)-1000/6(10)/0,4 / 40 / Новый- 40- Новый";;;https://static.tildacdn.com/tild3030-3839-4136-b033-313265646230/Group_24.png;89000.0000;;;"Мощность трансформатора:40;Состояние:Новый";;xsBKzUZc7lDPIdnPMVyN;360819276921;0;0;0;0
